"longitude","latitude","sst_celsius"
4.7,42.1,13.5
4.7,42.1,13.3
4.7,42.1,13.1
4.7,42.1,13.3
4.7,42.1,13.3
4.7,42.1,13.3
4.7,42.1,13.3
4.7,42.1,13.1
4.7,42.1,13.2
4.7,42.1,13.1
4.7,42.1,13.4
4.7,42.1,13.2
4.7,42.1,13.2
4.7,42.1,13.2
4.7,42.1,13
4.7,42.1,13.1
4.7,42.1,13.1
4.7,42.1,13.1
4.7,42.1,13.2
4.7,42.1,13
4.7,42.1,13.2
4.7,42.1,13.2
4.7,42.1,13.1
4.7,42.1,13.2
4.7,42.1,13.1
4.7,42.1,13.3
4.7,42.1,13.3
4.7,42.1,13.4
4.7,42.1,13.6
4.7,42.1,13.5
4.7,42.1,13.4
4.7,42.1,13.5
4.7,42.1,13.5
4.7,42.1,13.4
4.7,42.1,13.5
4.7,42.1,13.3
4.7,42.1,13.5
4.7,42.1,13.5
4.7,42.1,13.4
4.7,42.1,13.3
4.7,42.1,13.6
4.7,42.1,13.4
4.7,42.1,13.4
4.7,42.1,13.5
4.7,42.1,13.4
4.7,42.1,13.4
4.7,42.1,13.3
4.7,42.1,13.3
4.7,42.1,13.3
4.7,42.1,13.2
4.7,42.1,13.1
4.7,42.1,13.3
4.7,42.1,13.1
4.7,42.1,13.3
4.7,42.1,13.2
4.7,42.1,13.3
4.7,42.1,13.1
4.7,42.1,13.2
4.7,42.1,13.2
4.7,42.1,13.3
4.7,42.1,13.2
4.7,42.1,13.2
4.7,42.1,12.7
4.7,42.1,13.3
4.7,42.1,13.1
4.7,42.1,13.1
4.7,42.1,13.1
4.7,42.1,13
4.7,42.1,13.1
32,34.5,20.5
32.1,34.5,20.6
32.1,34.5,20.5
32.1,34.5,20.6
32.2,34.4,20.6
32.1,34.5,20.6
32.2,34.4,20.6
32.2,34.4,20.7
32.3,34.4,20.6
32.3,34.4,20.6
32.4,34.4,20.6
32.3,34.4,20.6
32.3,34.4,20.6
32.4,34.4,20.6
32.4,34.4,20.6
32.4,34.4,20.5
32.4,34.3,20.6
32.5,34.3,20.7
32.5,34.3,20.7
32.5,34.3,20.6
32.5,34.3,20.7
32.6,34.3,20.8
32.6,34.3,20.9
32.6,34.3,20.9
32.7,34.3,20.7
32.7,34.3,20.8
32.7,34.3,20.9
32.7,34.3,20.9
32.7,34.3,20.9
32.7,34.3,20.9
32.7,34.3,20.9
32.7,34.3,20.9
32.8,34.3,20.8
32.8,34.3,20.7
32.8,34.3,20.8
32.8,34.3,20.8
32.8,34.3,20.8
32.9,34.3,20.8
32.9,34.3,20.8
32.9,34.3,20.8
32.9,34.3,20.8
33,34.3,20.8
32.9,34.3,20.8
32.9,34.3,20.8
32.9,34.3,20.8
33,34.3,20.8
33,34.3,20.8
33,34.3,20.8
33,34.3,20.7
33,34.3,20.7
33,34.3,20.7
33,34.4,20.7
33,34.4,20.7
33,34.4,20.7
33,34.4,20.7
33,34.4,20.7
33,34.4,20.7
33,34.4,20.7
33,34.4,20.6
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.8
33,34.4,20.6
33,34.4,20.6
33,34.4,20.6
33,34.4,20.6
33,34.4,20.6
33.1,34.6,20.4
33.1,34.6,20.4
33.1,34.6,20.5
33.1,34.6,20.8
33.1,34.6,21
33.1,34.6,20.9
33.1,34.6,20.7
33.1,34.7,20.4
33.1,34.7,20.5
33.1,34.7,20.4
33.1,34.7,20.4
33.1,34.7,20.4
